"LGA","Year","Offence_Category_DMV","Subcategory","Total_DMV_Offences","Offence_Category_Drug","Total_Drug_Offences","Alcohol_induced_DMV_Offences","Non_Alcohol_induced_DMV_offences","Total_Employed","new_Unemployment_Data"
"Albury",2016,"Assault","Domestic violence related assault",284,"Drug offences",329,101,183,29373,22799
"Albury",2017,"Assault","Domestic violence related assault",279,"Drug offences",177,107,176,29676,23217
"Albury",2018,"Assault","Domestic violence related assault",286,"Drug offences",213,85,201,30666,22918
"Albury",2019,"Assault","Domestic violence related assault",297,"Drug offences",288,72,225,31754,22480
"Albury",2020,"Assault","Domestic violence related assault",243,"Drug offences",252,75,253,31624,23306
"Armidale Regional",2016,"Assault","Domestic violence related assault",152,"Drug offences",218,48,98,15066,15447
"Armidale Regional",2017,"Assault","Domestic violence related assault",183,"Drug offences",120,74,97,15088,15694
"Armidale Regional",2018,"Assault","Domestic violence related assault",203,"Drug offences",124,71,123,15523,15334
"Armidale Regional",2019,"Assault","Domestic violence related assault",200,"Drug offences",163,80,100,16017,14950
"Armidale Regional",2020,"Assault","Domestic violence related assault",145,"Drug offences",139,69,114,15944,14879
"Ballina",2016,"Assault","Domestic violence related assault",109,"Drug offences",142,58,51,17507,25382
"Ballina",2017,"Assault","Domestic violence related assault",104,"Drug offences",102,44,60,17699,25716
"Ballina",2018,"Assault","Domestic violence related assault",112,"Drug offences",112,57,55,18334,25722
"Ballina",2019,"Assault","Domestic violence related assault",97,"Drug offences",156,40,57,19032,25482
"Ballina",2020,"Assault","Domestic violence related assault",69,"Drug offences",145,62,66,18999,26115
"Balranald",2016,"Assault","Domestic violence related assault",5,"Drug offences",8,2,3,1013,1413
"Balranald",2017,"Assault","Domestic violence related assault",6,"Drug offences",14,7,0,1008,1411
"Balranald",2018,"Assault","Domestic violence related assault",11,"Drug offences",18,4,7,1036,1383
"Balranald",2019,"Assault","Domestic violence related assault",10,"Drug offences",22,4,6,1071,1335
"Balranald",2020,"Assault","Domestic violence related assault",9,"Drug offences",6,11,2,1065,1309
"Bathurst Regional",2016,"Assault","Domestic violence related assault",186,"Drug offences",130,50,136,20658,22225
"Bathurst Regional",2017,"Assault","Domestic violence related assault",216,"Drug offences",157,82,132,20782,22601
"Bathurst Regional",2018,"Assault","Domestic violence related assault",224,"Drug offences",175,73,151,21459,22345
"Bathurst Regional",2019,"Assault","Domestic violence related assault",239,"Drug offences",233,91,147,22212,22046
"Bathurst Regional",2020,"Assault","Domestic violence related assault",167,"Drug offences",207,73,165,22124,22522
"Bayside",2016,"Assault","Domestic violence related assault",521,"Drug offences",665,122,398,91139,73427
"Bayside",2017,"Assault","Domestic violence related assault",523,"Drug offences",555,141,382,91827,78375
"Bayside",2018,"Assault","Domestic violence related assault",583,"Drug offences",621,167,415,94279,80084
"Bayside",2019,"Assault","Domestic violence related assault",643,"Drug offences",558,184,461,97131,81425
"Bayside",2020,"Assault","Domestic violence related assault",517,"Drug offences",429,161,507,95811,85905
"Bega Valley",2016,"Assault","Domestic violence related assault",106,"Drug offences",111,39,67,14140,19887
"Bega Valley",2017,"Assault","Domestic violence related assault",107,"Drug offences",80,42,65,14140,20051
"Bega Valley",2018,"Assault","Domestic violence related assault",107,"Drug offences",95,42,65,14549,19808
"Bega Valley",2019,"Assault","Domestic violence related assault",102,"Drug offences",82,37,65,15000,19486
"Bega Valley",2020,"Assault","Domestic violence related assault",83,"Drug offences",104,53,65,14839,19900
"Bellingen",2016,"Assault","Domestic violence related assault",36,"Drug offences",32,17,19,4356,9244
"Bellingen",2017,"Assault","Domestic violence related assault",34,"Drug offences",57,6,28,4375,9238
"Bellingen",2018,"Assault","Domestic violence related assault",46,"Drug offences",33,13,33,4512,9097
"Bellingen",2019,"Assault","Domestic violence related assault",41,"Drug offences",52,16,26,4663,8974
"Bellingen",2020,"Assault","Domestic violence related assault",47,"Drug offences",31,22,35,4630,9104
"Berrigan",2016,"Assault","Domestic violence related assault",15,"Drug offences",72,6,9,3211,5396
"Berrigan",2017,"Assault","Domestic violence related assault",13,"Drug offences",78,6,7,3207,5477
"Berrigan",2018,"Assault","Domestic violence related assault",23,"Drug offences",106,14,9,3296,5433
