"Total_DMV_Offences","Total_Drug_Offences","Alcohol_induced_DMV_Offences","Non_Alcohol_induced_DMV_offences","Total_Employed"
284,329,101,183,29373
279,177,107,176,29676
286,213,85,201,30666
297,288,72,225,31754
243,252,75,253,31624
152,218,48,98,15066
183,120,74,97,15088
203,124,71,123,15523
200,163,80,100,16017
145,139,69,114,15944
109,142,58,51,17507
104,102,44,60,17699
112,112,57,55,18334
97,156,40,57,19032
69,145,62,66,18999
10,8,4,5.95,1177.35
10,14,7,5.95,1177.35
11,18,4,7,1177.35
10,22,4,6,1177.35
10,7,11,5.95,1177.35
186,130,50,136,20658
216,157,82,132,20782
224,175,73,151,21459
239,233,91,147,22212
167,207,73,165,22124
521,665,122,398,91139
523,555,141,382,91827
583,621,167,415,94279
643,558,184,461,97131
517,429,161,507,95811
106,111,39,67,14140
107,80,42,65,14140
107,95,42,65,14549
102,82,37,65,15000
83,104,53,65,14839
36,32,17,19,4356
34,57,6,28,4375
46,33,13,33,4512
41,52,16,26,4663
47,31,22,35,4630
15,72,6,9,3211
13,78,6,7,3207
23,106,14,9,3296
15,71,6,9,3399
10,27,5,12,3364
865.499999999999,989.05,213.05,703.15,108454.55
865.499999999999,989.05,213.05,703.15,108454.55
865.499999999999,989.05,213.05,703.15,108454.55
865.499999999999,989.05,213.05,703.15,108454.55
865.499999999999,989.05,213.05,703.15,108454.55
21,19,6,15,3044
20,20,6,14,3026
15,35,5,10,3093
20,19,6,14,3176
13,16,9,11,3153
15,18,4,11,3591
38,16,19,18,3542
19,21,7,12,3606
22,21,11,10,3676
18,10,10,24,3621
250,124,86,164,21366
266,157,104,163,21648
234,162,76,159,22483
174,168,50,125,23397
160,146,60,154,23268
27,16,9,18,1543
20,17,5,15,1510
22,11,4,18,1519
23,22,11,12,1533
16,21,4,17,1495
92,44,32,60,1177.35
89,19,44,45,1177.35
103,42,51,52,1178
101,34,38,63,1206
84,41,45,75,1190
48,13,31,17,1177.35
43,7,32,11,1177.35
44,9,26,18,1177.35
61,29,39,22,1177.35
46,30,39,28,1177.35
160,126,62,94,8098
184,109,70,114,8036
207,174,69,138,8162
206,138,69,134,8306
177,128,83,163,8124
72,88,20,52,18938
84,59,20,66,19185
60,122,12,48,19880
60,174,13,47,20674
47,95,13,56,20708
97,528,52,45,14883
112,488,50,62,15042
108,783,54,54,15575
112,933,60,52,16152
76,280,45,60,16017
29,9,11,18,5254
24,9,12,12,5217
44,10,14,30,5344
35,9,10,25,5492
18,17,10,20,5462
223,383,68,155,29296
308,397,78,230,29799
357,279,102,255,30720
388,379,98,291,31818
254,214,84,252,31639
865.499999999999,751,200,703.15,56796
804,736,199,606,57123
865.499999999999,661,213.05,697,58772
865.499999999999,753,213,681,60573
696,540,213.05,703.15,60099
108,132,35,73,39491
112,125,34,78,39747
100,161,33,69,40990
114,170,25,86,42379
95,145,37,84,42177
865.499999999999,989.05,200,703.15,108454.55
865.499999999999,989.05,213.05,703.15,108454.55
865.499999999999,989.05,183,703.15,108454.55
865.499999999999,989.05,205,703.15,108454.55
865.499999999999,989.05,174,703.15,108454.55
10,8,6,5.95,1569
10,7,5,5.95,1557
10,8,6,5.95,1601
12,13,4,9,1660
12,8,10,11,1669
865.499999999999,989.05,213.05,703.15,108454.55
865.499999999999,989.05,213.05,703.15,108454.55
865.499999999999,989.05,213.05,703.15,108454.55
865.499999999999,989.05,213.05,703.15,108454.55
865.499999999999,989.05,213.05,703.15,108454.55
87,14,80,7,1177.35
87,10,67,19,1177.35
89,7,64,25,1177.35
99,14,81,18,1177.35
63,16,53,32,1177.35
358,274,106,252,17599
357,299,108,250,17633
308,350,71,237,18163
297,356,75,222,18740
181,212,83,179,18499
222,333,103,119,19214
228,285,80,148,19281
214,283,88,126,19853
183,220,65,118,20491
139,198,85,133,20317
42,16,11,23,2789
33,21,8,15,2719
45,14,14,24,2720
36,24,12,16,2723
17,29,10,10,2632
511,459,213,298,33737
475,437,179,296,34039
476,489,181,295,35176
442,473,211,231,36431
383,395,210,319,36227
12,15,8,5.95,1271
15,10,11,5.95,1268
11,11,6,5.95,1299
10,8,5,5.95,1338
10,7,4,6,1331
48,65,17,31,1691
53,32,24,29,1663
66,49,20,46,1684
119,59,38,81,1716
81,49,32,66,1694
48,62,19,29,4930
56,40,18,38,4899
66,77,26,40,5030
53,59,13,40,5180
50,33,23,41,5125
72,36,30,42,5402
63,16,30,34,5402
56,24,16,40,5550
61,26,29,33,5724
49,54,25,59,5689
864,989.05,139,703.15,83614
834,989.05,129,703.15,84044
865.499999999999,989,148,703.15,86118
865.499999999999,989.05,153,703.15,88513
779,961,189,703.15,87592
404,228,107,297,25707
346,218,81,265,25839
572,345,125,447,26654
696,334,149,548,27566
472,368,132,499,27409
24,20,13,11,2548
25,8,13,12,2560
31,15,14,17,2641
18,18,10,8,2734
30,10,16,20,2731
60,95,25,35,4849
38,113,6,31,4843
55,103,16,39,4983
58,91,10,47,5147
41,58,12,45,5130
141,195,57,84,14011
156,179,73,83,14111
178,206,76,102,14564
135,198,64,71,15063
138,212,72,122,14933
736,989.05,141,595,67471
728,989.05,152,575,67800
705,979,147,558,69606
757,989.05,155,602,71564
542,989.05,147,622,70765
31,28,10,21,5865
32,34,9,23,5804
21,41,5,16,5946
36,61,16,20,6109
31,19,11,29,6026
81,44,25,56,4636
58,57,19,39,4654
70,53,20,50,4787
79,72,25,54,4946
63,34,21,61,4935
443,370,89,355,49016
443,290,98,345,49677
434,311,111,323,51376
494,384,114,379,53320
317,286,100,348,53288
33,33,8,25,1846
40,31,13,27,1837
37,39,17,20,1887
42,38,21,21,1950
35,11,21,33,1947
106,29,40,66,3518
72,46,30,44,3504
56,53,26,30,3590
64,51,26,39,3697
53,33,23,50,3667
105,146,38,66,13209
127,145,40,87,13304
116,226,44,72,13744
113,188,30,84,14239
87,173,38,95,14186
18,14,8,10,3936
18,16,10,8,3970
21,20,9,12,4103
31,11,6,25,4260
26,7,5,26,4279
242,72,68,174,14716
212,120,52,160,14591
197,112,54,143,14968
221,199,61,162,15394
161,138,62,160,15292
77,28,20,57,5825
62,22,24,38,5832
63,28,29,35,5986
84,43,31,53,6166
60,37,37,58,6113
15,9,11,5.95,2324
19,10,11,8,2301
27,10,17,10,2353
20,17,10,10,2424
27,9,15,19,2423
258,291,67,191,28583
249,202,65,184,28853
245,214,70,175,29825
236,183,83,153,30916
204,158,70,211,30777
24,213,7,17,1525
17,109,5,12,1526
19,74,8,11,1570
21,36,7,14,1624
24,15,10,18,1621
72,47,30,42,8130
99,48,38,62,8111
109,70,43,66,8330
89,64,27,64,8589
60,103,37,63,8548
152,190,44,108,48444
159,176,45,114,48963
159,214,48,111,50646
218,248,51,166,52450
225,139,65,207,52250
15,25,4,11,5005
22,11,5,17,5082
18,18,9,9,5281
23,33,8,15,5496
17,29,4,19,5506
427,862,142,287,72253
428,828,169,258,72939
377,710,158,219,75317
429,879,131,298,77932
305,730,141,278,77417
101,67,42,65,7382
87,67,44,55,7321
117,70,44,82,7486
165,49,58,127,7680
93,71,43,111,7602
41,44,7,34,2148
